year,name,value,growth
2017,ASEAN,2378750,(18.64%)
2017,Malaysia,2217366,(-7.70%)
2017,Europe,77276,(5.38%)
2017,North Asia,72730,(6.19%)
2017,South Asia & Mideast,41696,(0.86%)
2017,Rest of World,24835,(-10.525%)
2017,Australia/NZ,24047,(4.93%)
2017,Americas,20188,(2.19%)
2018,ASEAN,1859605,(41.97%)
2018,Malaysia,2317946,(52.31%)
2018,Europe,75215,(1.70%)
2018,North Asia,73960,(1.67%)
2018,South Asia & Mideast,36517,(0.82%)
2018,Rest of World,26390,(0.60%)
2018,Australia/NZ,20820,(0.47%)
2018,Americas,20468,(0.46%)
2019,ASEAN,1837256,(39.41%)
2019,Malaysia,2579975,(55.34%)
2019,Europe,73622,(1.58%)
2019,North Asia,71006,(1.52%)
2019,South Asia & Mideast,36805,(0.79%)
2019,Rest of World,23965,(0.51%)
2019,Australia/NZ,21180,(0.45%)
2019,Americas,18610,(0.40%)
2020,ASEAN,310063,(25.84%)
2020,Malaysia,836568,(69.72%)
2020,Europe,11727,(0.98%)
2020,North Asia,13746,(1.15%)
2020,South Asia & Mideast,10940,(0.91%)
2020,Rest of World,8417,(0.70%)
2020,Australia/NZ,4839,(0.40%)
2020,Americas,3572,(0.30%)
2021,ASEAN,14810,(6.30%)
2021,Malaysia,212867,(90.49%)
2021,Europe,646,(0.27%)
2021,North Asia,2329,(0.99%)
2021,South Asia & Mideast,2631,(1.12%)
2021,Rest of World,1672,(0.71%)
2021,Australia/NZ,115,(0.05%)
2021,Americas,175,(0.07%)
