Citizenship,January,February,March,April,May,June,July,August,September,October,November,December,Grand Total
Singapore,4482 ,1865 ,916 ,1 ,3 ,2 ,18 ,7 ,33 ,19 ,14 ,3 ,7363 
Australia,2750 ,867 ,355 ,2 ,2 ,9 ,19 ,4 ,17 ,15 ,8 ,4 ,4052 
New Zealand,498 ,170 ,102 ,0 ,0 ,0 ,7 ,3 ,3 ,2 ,1 ,1 ,787 
Canada,904 ,565 ,238 ,2 ,5 ,1 ,5 ,4 ,1 ,2 ,0 ,3 ,1730 
United Kingdom,2339 ,1834 ,933 ,2 ,30 ,31 ,24 ,19 ,35 ,24 ,14 ,15 ,5300 
Hong Kong,22 ,11 ,3 ,0 ,0 ,1 ,10 ,1 ,0 ,0 ,0 ,0 ,48 
Sri Lanka,79 ,89 ,43 ,0 ,0 ,2 ,9 ,16 ,10 ,19 ,6 ,5 ,278 
Bangladesh,183 ,216 ,67 ,2 ,18 ,42 ,43 ,22 ,30 ,18 ,13 ,5 ,659 
India,2376 ,2476 ,981 ,161 ,188 ,312 ,334 ,300 ,352 ,324 ,140 ,101 ,8045 
Brunei,88212 ,59191 ,30248 ,283 ,340 ,410 ,346 ,205 ,332 ,352 ,324 ,373 ,180616 
United States of America,998 ,365 ,116 ,1 ,3 ,8 ,15 ,4 ,14 ,5 ,1 ,3 ,1533 
China,3418 ,1168 ,682 ,150 ,259 ,193 ,194 ,258 ,335 ,116 ,189 ,231 ,7193 
Russia,187 ,74 ,74 ,4 ,2 ,2 ,6 ,4 ,12 ,3 ,0 ,0 ,368 
Latin America,154 ,100 ,42 ,0 ,3 ,0 ,0 ,1 ,6 ,2 ,0 ,1 ,309 
Arabs,302 ,299 ,118 ,49 ,41 ,21 ,7 ,10 ,35 ,24 ,1 ,50 ,957 
Germany,527 ,623 ,444 ,0 ,2 ,0 ,3 ,2 ,0 ,1 ,7 ,2 ,1611 
France,270 ,324 ,159 ,0 ,9 ,0 ,12 ,0 ,1 ,0 ,0 ,0 ,775 
Europe,1006 ,700 ,295 ,3 ,11 ,22 ,5 ,3 ,9 ,4 ,2 ,5 ,2065 
Philippines,5485 ,3494 ,1787 ,372 ,252 ,409 ,563 ,467 ,400 ,428 ,146 ,269 ,14072 
Thailand,1024 ,925 ,540 ,146 ,164 ,169 ,183 ,166 ,115 ,122 ,27 ,51 ,3632 
Taiwan,1055 ,685 ,98 ,14 ,14 ,1 ,9 ,20 ,42 ,4 ,15 ,3 ,1960 
Indonesia,49766 ,30856 ,16158 ,637 ,548 ,886 ,1329 ,1082 ,1158 ,942 ,546 ,472 ,104380 
Pakistan,368 ,384 ,170 ,5 ,1 ,3 ,17 ,8 ,26 ,7 ,8 ,4 ,1001 
Japan,865 ,708 ,272 ,0 ,0 ,7 ,21 ,8 ,34 ,4 ,11 ,7 ,1937 
South Korea,1620 ,660 ,134 ,10 ,11 ,13 ,47 ,16 ,46 ,28 ,15 ,8 ,2608 
Total Foreigner,168890 ,108649 ,54975 ,1844 ,1906 ,2544 ,3226 ,2630 ,3046 ,2465 ,1488 ,1616 ,353279 
Peninsular Malaysia,172124 ,132871 ,78583 ,3593 ,8118 ,14810 ,39864 ,27508 ,47898 ,8889 ,6899 ,5363 ,546520 
Sabah,75948 ,67022 ,38249 ,4425 ,6399 ,12481 ,29112 ,13620 ,26174 ,6482 ,4837 ,5299 ,290048 
Malaysia,248072 ,199893 ,116832 ,8018 ,14517 ,27291 ,68976 ,41128 ,74072 ,15371 ,11736 ,10662 ,836568 
Grand Total (Foreigner + Malaysia),416962 ,308542 ,171807 ,9862 ,16423 ,29835 ,72202 ,43758 ,77118 ,17836 ,13224 ,12278 ,1189847 
